index,title,author,year
0,"Automated Deduction in Geometry: 5th International Workshop, ADG 2004, Gainesville, FL, USA, September 16-18, 2004, Revised Papers (Lecture Notes in Computer ... / Lecture Notes in Artificial Intelligence)","Hoon Hong,Dongming Wang",2006
1,A+ Certification Core Hardware (Text & Lab Manual),Charles J. Brooks,2003
2,Performance engineering in industry: current practices and adoption challenges,"Ahmed E. Hassan,Parminder Flora",2007
3,"Dude, You Can Do It! How to Build a Sweeet PC","Darrel Creacy,Carlito Vicencio",2005
4,What Every Programmer Needs to Know about Security (Advances in Information Security),"Neil Daswani,Anita Kesavan",2006
5,Interpreting Kullback-Leibler divergence with the Neyman-Pearson lemma,"Shinto Eguchi,John Copas",2006
6,Digital Media: Transformations in Human Communication,"Lee Humphreys,Paul Messaris",2006
7,TOPP---the OpenMS proteomics pipeline,"Oliver Kohlbacher,Knut Reinert,Clemens Gröpl,Eva Lange,Nico Pfeifer,Ole Schulz-Trieglaff,Marc Sturm",2007
8,Type Graphics and MacIntosh,John Blaint,1987
9,"Adaptive Hypermedia and Adaptive Web-Based Systems: 4th International Conference, AH 2006, Dublin, Ireland, June 21-23, 2006, Proceedings (Lecture Notes in Computer Science)","Vincent Wade,Helen Ashman,Barry Smyth",2006
10,"Dependable Computing: Second Latin-American Symposium, LADC 2005, Salvador, Brazil, October 25-28, 2005, Proceedings (Lecture Notes in Computer Science)","Carlos Alberto Maziero,João Gabriel Silva,Aline Maria Santos Andrade,Flávio Morais de Assis Silva",2005
11,Calculus Early Transcendentals Single Variable,Howard A. Anton,2006
12,"Webbots, Spiders, and Screen Scrapers","Michael Schrenk,Michael Shrenk",2007
13,Fast k-NN Classification Rule Using Metrics on Space-Filling Curves,"E. Skubalska-Rafajtowicz,A. Krzyzak",1996
14,Making the Digital City: The Early Shaping of Urban Internet Space (Design & the Built Environment S.),Alessandro Aurigi,2005
15,Linspire 5.0: The No Nonsense Guide! (No Nonsense Guide! series),Eric Grebler,2005
16,Podcasting for Profit: A Proven 10-Step Plan for Generating Income Through Audio and Video Podcasting,Allan Hunkin,2007
17,Approximating fluid schedules in crossbar packet-switches and Banyan networks,"Michael Rosenblum,Constantine Caramanis,Michel X. Goemans,Vahid Tarokh",2006
18,Federated Identity Management And Web Services Security With IBM Tivoli Security Solutions,Axel Bucker,2005
19,Start with a Digital Camera (Special Edition) (2nd Edition) (Start with a),John Odam,2003
20,Open Process Frameworks: Patterns for the Adaptive e-Enterprise (Practitioners),David A. Marca,2005
21,Fast and Efficient Context-Aware Services (Wiley Series on Communications Networking & Distributed Systems),"Danny Raz,Arto Tapani Juhola,Joan Serrat-Fernandez,Alex Galis",2006
22,Multimedia Directory 1997,,1997
23,"ASIS&T Thesaurus of Information Science, Technology, And Librarianship (Asist Monograph Series)","Alice Redmond-neal,Marjorie M. K. Hlava",2005
24,On product covering in 3-tier supply chain models: natural complete problems for W[3] and W[4],"Jianer Chen,Fenghui Zhang",2006
25,Inside SQL Server 2005 Tools (Microsoft Windows Server System Series),"Michael Raheem,Dima Sonkin,Thierry D'Hers,Kami LeMonds",2006
26,Electronic Engineer's Handbook (Core Handbook CD-ROMs),Donald Christiansen,1999
27,Call of Duty 2: Big Red One(tm) Official Strategy Guide (Official Strategy Guides),,2005
28,Inside Microsoft Dynamics AX 4.0,"Arthur Greef,Michael Fruergaard Pontoppidan,Lars Dragheim Olsen,Palle Agermark,Hans J. Skovgaard",2006
29,Wiley Plus/Web CT Stand-alone to accompany Java Concepts (Wiley Plus Products),Cay S. Horstmann,2006
30,Modeling methodology b: distributed simulation and the high level architecture,,2006
31,Beginning Ruby on Rails (Wrox Beginning Guides),Steve Holzner,2006
32,Introduction to Information Systems,R. Kelly Rainer,2007
33,SUSE Linux Enterprise Server Administration (Course 3037),Jason Eckert,2006
34,Hyperstat: Macintosh Hypermedia for Analyzing Data and Learning Statistics,David M. Lane,1993
35,An Integrative Modelling Approach for Simulation and Analysis of Adaptive Agents,"Tibor Bosse,Catholijn M. Jonker,Jan Treur",2006
36,Notes from industry,Stanley Habib,1973
37,A New Quadtree Decomposition Reconstruction Method,"J. Knipe,X. Li",1996
38,Computer Accounting with QuickBooks 2006,Donna Ulmer,2006
39,Program Evaluation: Improving The Flow Of Information To The Congress,,2004
40,Jocelyn Robert: Aucune de mes mains ne fait mal,Jocelyn Robert,2005
41,Microprogramming for the hardware engineer,John R. Mick,1976
42,Special Edition Using Adobe Creative Suite 2 (Special Edition Using),Michael Smick,2005
43,At Ease With Performa,Gene Orwell,1994
44,Guia Visual de Microsoft Office 2000/ Microsoft Office 2000 Visual Guide (Guias Visuales),Jose Pedro Llamazares,2003
45,Microsoft Expression Web: Visual QuickStart Guide,Nolan Hester,2007
46,Fast Track: Linux Apache Web Server & Workstation Management,,2004
47,"TCP/IP Protocol Suite, 3 edition",Behrouz A. Forouzan,2005
48,Conker's Bad Fur Day (Prima's Official Strategy Guide),,2001
49,A control word model for detecting conflicts between microoperations,"Ted Lewis,Bruce Shriver",1975
50,Exploring Macintosh Concepts in Visually Oriented Computing & Computing Concepts for End Users,Ken Abernethy,2000
51,KeyChamp 2.0 Macintosh Site License Package,Michael Cloran,2003
52,Word Processing on Your MacIntosh,Rudolph Langer,1985
53,Class-specific feature polynomial classifier for pattern classification and its application to handwritten numeral recognition,"Cheng-Lin Liu,Hiroshi Sako",2006
54,F.E.A.R.: First Encounter Assault Recon (Prima Official Game Guide),Ron Dulin,2006
55,Effects of reward expectancy on sequential eye movements in monkeys,"Jeong-woo Sohn,Daeyeol Lee",2006
56,A method to compute distance between two categorical values of same attribute in unsupervised learning for categorical data set,"Amir Ahmad,Lipika Dey",2007
57,"ExamInsight For MCP / MCSE Certification: Installing, Configuring, and Administering Microsoft Windows XP Professional Exam 70-270 (ExamInsight)",Deborah Timmons,2004
58,Computer Models of Musical Creativity,David Cope,2005
59,"Computer Concepts Illustrated Complete, Sixth Edition (Illustrated (Thompson Learning))","June Jamrich Parsons,Dan Oja",2006
60,Tips and Tuning Guide for MS Flight Simulator 2000,,2000
61,Windows Vista All-in-One Desk Reference For Dummies (For Dummies (Computer/Tech)),Woody Leonhard,2006
62,"Review of ""Bit-Slice Microprocessor Design by John Mick and James Brick"", McGraw-Hill Book Company, 1980",William J. Tracz,1982
63,DV Filmmaking: From Start to Finish (O'Reilly Digital Studio),Ian David Aronson,2006
64,Ibook Fan Book: Smart and Beautiful to Boot (Ibook Fan Books),Derrick Story,2004
65,GO Series: Microsoft Excel 2003 Volume 2 (Go With Microsoft Office),"Shelley Gaskin,John Preston,Sally Preston",2004
66,Data Structures,Michael T. Goodrich,2004
67,Hands-On Guide to Video Blogging and Podcasting: Emerging Media Tools for Business Communication (Hands-on Guide),"Lionel Felix,Damien Stolarz",2006
68,Mage Knight(tm): Apocalypse Official Strategy Guide (Official Strategy Guides),,2006
69,ECDL Advanced,"Brenden Munnelly,Paul Holden",2002
70,The Effect of Faults on Network Expansion,"Amitabha Bagchi,Ankur Bhargava,Amitabh Chaudhary,David Eppstein,Christian Scheideler",2006
71,Database Modeling in Biology: Practices and Challenges,"Zongmin Ma,Jake Chen",2007
72,Microsoft Word 2003 Advanced,Pamela W. Adams,2005
73,"Adaptive Multimedia Retrieval: First International Workshop, AMR 2003, Hamburg, Germany, September 15-16, 2003, Revised Selected and Invited Papers (Lecture Notes in Computer Science)","Andreas Nürnberger,Marcin Detyniecki",2004
74,Mesoscopic simulation of Ostwald ripening,David J. Horntrop,2006
75,Gungrave: 2006 Wall Calendar,Nightow Yoshiro,2005
76,"Gurus, Hired Guns, and Warm Bodies: Itinerant Experts in a Knowledge Economy","Stephen R. Barley,Gideon Kunda",2006
77,"Selected Areas in Cryptography: 12th International Workshop, SAC 2005, Kingston, ON, Canada, August 11-12, 2005, Revised Selected Papers (Lecture Notes in Computer Science)",Bart Preneel,2006
78,The Prentice Hall Planner for Student Success,,2004
79,Design team composition for high level language computer architectures,"Lyle A. Cox, Jr.,James R. McGraw,Charles S. Wetherell",1978
80,Keno Winner: A Guide To Winning At Video Keno,Tom Collins,2004
81,Real World Aperture (Real World),Ben Long,2006
82,"Making Projects Critical (Management, Work and Organisations)","Damian Hodgson,Svetlana Cicmil",2006
83,The Internet: A Critical Introduction,Korinna Patelis,2007
84,"It's a Mad, Mad, Mad, Mad Mac/Book and Disk",Carla Rose,1994
85,Java for Everyone,Cay S. Horstmann,2007
86,Three-Level Caching for Efficient Query Processing in Large Web Search Engines,"Xiaohui Long,Torsten Suel",2006
87,Essentials for Design Adobe Illustrator CS 2 - Level 1 (2nd Edition) (Essentials for Design),Dean Bagley,2005
88,Operations Research: Macintosh Version (Business Statistics Series),Wayne L. Winston,1994
89,Creative Code: Ästhetik und Programmierung am MIT Media Lab,"John Maeda,Red Burns",2006
90,The Game Producer's Handbook,Dan Irish,2005
91,"Visual Basic 2005 Demystified, 1 edition",Jeff Kent,2005
92,Oracle 10g PL/SQL: Guia de Consulta Rápida,Celso H. Poderoso de Oliveira,2005
93,"CompTIA A+ Exam Cram (Exams 220-602, 220-603, 220-604) (Exam Cram)",Charles J. Brooks,2007
94,On an initial transient deletion rule with rigorous theoretical support,"Hernan P. Awad,Peter W. Glynn",2006
95,Microsoft Powerpoint 2003 (Marquee Series),"Nita Hewitt Rutkosky,Denise Seguin",2004
96,"MICAI 2006: Advances in Artificial Intelligence: 5th Mexican International Conference on Artificial IntelligenceApizaco, Mexico, November 13-17, 2006Proceedings (Lecture Notes in Computer Science)","Alexander Gelbukh,Carlos Alberto Reyes-Garcia",2006
97,Tarski's World 3.0: Including the Macintosh TM Program (Center for the Study of Language and Information - Lecture Notes),"Jon Barwise,John Etchemendy",1991
98,Special issue: Dialog systems for health communications,,2006
99,Internet and HTML Training on CD-ROM,,1995
100,Elsevier's Dictionary of Wild and Cultivated Plants,W. E. Clason,1997
101,Physics for Game Developers,David M. Bourg,2001
102,The MacIntosh Bible Guide to System 7/the MacIntosh Bible,"Sharon Zardetto Aker,Arthur Maiman",1991
103,Encore Dvd (Diseno Y Creatividad),,2005
104,History of Wireless,"Tapan K. Sarkar,Robert Mailloux,Arthur A. Oliner,Magdalena Salazar-Palma,Dipak L. Sengupta",2006
105,"Embedded Software and Systems: Second International Conference, ICESS 2005, Xi'an, China, December 16-18, 2005, Proceedings (Lecture Notes in Computer Science)","Laurence T. Yang,Xingshe Zhou,Wei Zhao,Zhaohui Wu,Yian Zhu,Man Lin",2006
106,Security and Embedded Systems: Volume 2 NATO Security through Science Series: Information and Communication Security (Nato Security Through Science),"Dimitrios Nikolaou Serpanos,R. Giladi",2006
107,Strategic Management,John A. Pearce,2005
108,C++ Cookbook (Cookbooks (O'Reilly)),"D. Ryan Stephens,Christopher Diggins,Jonathan Turkanis,Jeff Cogswell",2005
109,Pro Tools 5 CSi Master (Csi Master),John C Hughes,1999
110,"Medical image segmentation, volume representation and registration using spheres in the geometric algebra framework","Rivera-Rovelo Jorge,Bayro-Corrochano Eduardo",2007
111,Bulletproof Ajax (Voices That Matter),Jeremy Keith,2007
112,On simultaneous confidence intervals for all contrasts in the means of the intraclass correlation model with missing data,"Takashi Seo,Jun Kikuchi,Kazuyuki Koizumi",2006
113,Exploiting web browsing histories to identify user needs,"Fabio Gasparetti,Alessandro Micarelli",2007
114,GO! with Microsoft Office 2003 Advanced (Go Series for Microsoft Office 2003),"Shelley Gaskin,Linda Foster-Turpen,John Preston,Sally Preston,Robert L. Ferrett,Alicia Vargas,Jeffrey Howard",2004
115,Traffic Management in IP-Based Communications,Trinh Anh Tuan,2007
116,Photo Idea Index,Jim Krause,2005
117,Operating Systems Concepts,Abraham Silberschatz,2005
118,Game Theory And Applications,"Leon Petrosjan,V. V. Mazalov",2006
119,C++ and Object Oriented Programming Paradigm,Debasish Jana,2004
120,Similarity Analysis for Shape Retrieval by Example,"B. Giinsel,A. M. Tekalp",1996
121,Fundamentos de Programacion,Osvaldo Cairo Battistutti,2006
122,Special issues on the second workshop on embedded system education (WESE),,2007
123,"Job Scheduling Strategies for Parallel Processing: 11th International Workshop, JSSPP 2005, Cambridge, MA, USA, June 19, 2005, Revised Selected Papers (Lecture Notes in Computer Science)","Dror Feitelson,Eitan Frachtenberg,Larry Rudolph,Uwe Schwiegelshohn",2006
124,Simulation education: improving simulation course content,,2006
125,"Bipolar possibility theory in preference modeling: Representation, fusion and optimal solutions","Salem Benferhat,Didier Dubois,Souhila Kaci,Henri Prade",2006
126,Neural Networks,Gérard Dreyfus,2005
127,Particle-in-cell method for parallel dynamics in magnetized electron plasmas: study of high-amplitude BGK modes,"F. Peinetti,F. Peano,G. Coppa,J. Wurtele",2006
128,"Wiley Plus/Web CT Stand-alone to accompany Dicho y hecho: Beginning Spanish, Seventh Edition (Student Text with CD-ROM Package) (Wiley Plus Products)","Laila M. Dawson,Albert C. Dawson",2006
129,Atari Classic Arcades Millipede (Snap! Everyday Solutions),,2004
130,Develop Microsoft.NET Applications for the iSeries (Visual Studio 2005),Craig Pelkie,2006
131,Military applications: military analysis II,,2006
132,MS SQL Server 2005: Developing Client/Server Applications,Vlad Pirogov,2006
133,Introduction to Graphics Communications for Engineers with Autodesk Inventor Software 06-07 (B.E.S.T. Series) (Basic Engineering Series and Tools),Gary Robert Bertoline,2006
134,Finite Programming in C++,Michael T. Wen,2005
135,Simulation with Arena (McGraw-Hill Series in Industrial Engineering and Management),W. David Kelton,2007
136,Who's in Charge Here?: The Tangled Web of School Governance And Policy,Noel Epstein,2006
137,TAIT Essentials 2003 V2.3 Valuepack OneKey Package,,2004
138,"Cd-Roms in Print: An International Guide to Cd-Rom, Cd-I, 3Do, Mmcd, Cd32, Multimedia and Electronic Products (CD-Roms in Print)",Amy R. Suchowski,1998
139,Verilog for Digital Design,Frank Vahid,2007
140,Make a Million from Online Poker: The Surefire Way to Profit from the Internet's Coolest Game,Nigel Goldman,2006
141,"Advances in XML Information Retrieval and Evaluation: 4th International Workshop of the Initiative for the Evaluation of XML Retrieval, INEX 2005, Dagstuhl ... Papers (Lecture Notes in Computer Science)","Norbert Fuhr,Mounia Lalmas,Saadia Malik,Gabriella Kazai",2006
142,"PSP Hacks, Mods, and Expansions",Dave Prochnow,2005
143,Watching Words Move,"Ivan Chermayeff,Tom Geismar",2006
144,"Windows and Mirrors: Interaction Design, Digital Art, and the Myth of Transparency (Leonardo Books)","Jay David Bolter,Diane Gromala",2005
145,Reasoning about ACL2 file input,Jared Davis,2006
146,On the order of accuracy for difference approximations of initial-boundary value problems,"Magnus Svärd,Jan Nordström",2006
147,Wireless Networks For Dummies,"Barry D. Lewis,Peter T. Davis",2004
148,Guia Avan Redes Priv. Virtuales / Linux,,2004
149,Structured Programming with ANSI C (Structured Programming S.),Denham Evelyn,2003
150,Seguridad En Wifi,Bens Smith,2006
151,Myst (Value Series): Prima's Official Strategy Guide,"Rick Barba,Rusel Demaria",2000
152,Health care: utilizing health resources,,2006
153,Best Ever Bible Activity Worksheets On CD-ROM,,2000
154,Introduction to Mathematical Programming: Applications and Algorithms,Wayne L. Winston,2003
155,"Personal Wireless Communications: IFIP TC6 11th International Conference, PWC 2006, Albacete, Spain, September 20-22, 2006, Proceedings (Lecture Notes in Computer Science)","Pedro Cuenca,Luis Orozco-Barbosa",2006
156,Exploring Microsoft Office Access 2007 Comprehensive 1/e (Exploring Series),"Robert Grauer,Maurie Lockley",2007
157,MCSE Self-Paced Training Kit (Exam 70-297): Designing a Microsoft Windows Server 2003 Active Directory and Network Infrastructure,"Walter Glenn,Michael T. Simpson",2003
158,Controlling simulation games through rule-based scenarios,"Stijn-Pieter van Houten,Alexander Verbraeck",2006
159,"mental ray for Maya, 3ds max, and XSI",Boaz Livny,2007
